Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
ATL,1991,No,40.8,88.1,.464,37.5,77.9,.482,3.3,10.2,.324,24.8,31.0,.800,15.1,29.5,44.6,22.7,8.9,4.6,15.0,21.6,109.8,24.8,109.0,43,39,0.77,-0.05,0.72,110.9,110.1,.482,12.9,33.1,69.1,.282,.509,13.7,.220,43.0,39.0,0.524390243902439
ATL,1992,No,42.6,91.2,.467,40.0,83.0,.482,2.6,8.2,.313,18.5,25.3,.731,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2,21.1,107.7,38,44,-1.50,0.35,-1.15,107.3,108.9,.481,13.0,33.6,68.3,.203,.497,13.2,.209,38.0,44.0,0.4634146341463415
ATL,1993,No,41.4,88.7,.466,36.7,75.6,.486,4.7,13.1,.355,20.1,27.1,.742,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22.0,107.5,22.9,108.4,43,39,-0.87,0.20,-0.67,109.3,110.2,.493,14.0,34.8,68.5,.227,.516,14.6,.224,43.0,39.0,0.524390243902439
ATL,1994,No,39.6,85.8,.461,36.3,75.7,.480,3.3,10.1,.323,19.0,25.2,.752,15.2,29.5,44.8,25.1,11.2,5.5,15.3,19.8,101.4,21.0,96.2,57,25,5.27,-0.33,4.94,107.2,101.7,.480,13.6,34.6,67.7,.221,.475,16.0,.185,57.0,25.0,0.6951219512195121
ATL,1995,No,36.4,81.5,.447,29.8,62.2,.480,6.6,19.3,.341,17.2,23.8,.724,13.5,27.7,41.2,21.4,9.0,5.0,14.9,22.0,96.6,22.1,95.3,42,40,1.28,-0.22,1.06,106.6,105.2,.487,13.9,31.6,68.4,.211,.495,15.6,.215,42.0,40.0,0.5121951219512195
ATL,1996,No,36.4,81.3,.448,29.5,61.8,.477,6.9,19.5,.355,18.6,24.5,.757,14.4,26.2,40.6,19.6,9.4,3.9,15.0,20.9,98.3,22.0,97.1,46,36,1.22,0.07,1.29,109.4,108.0,.490,14.0,34.0,67.1,.229,.512,16.3,.217,46.0,36.0,0.5609756097560976
ATL,1997,No,34.3,76.9,.446,26.3,54.5,.481,8.0,22.4,.359,18.2,23.8,.763,12.5,28.7,41.1,19.0,8.5,5.2,15.0,19.4,94.8,21.3,89.4,56,26,5.44,0.08,5.52,108.5,102.3,.498,14.6,31.5,69.2,.236,.472,15.0,.191,56.0,26.0,0.6829268292682927
ATL,1998,No,35.2,77.5,.455,31.1,65.1,.478,4.1,12.4,.332,21.3,28.2,.756,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9,23.1,92.3,50,32,3.51,0.34,3.85,108.2,104.3,.481,14.1,33.9,69.1,.275,.468,13.0,.194,50.0,32.0,0.6097560975609756
ATL,1999,No,30.8,75.2,.409,26.8,62.3,.431,3.9,12.9,.306,20.8,28.4,.731,13.5,30.0,43.5,15.6,6.9,5.2,14.9,19.7,86.3,24.0,83.4,31,19,2.90,-0.08,2.82,100.5,97.1,.436,14.5,33.1,72.1,.277,.437,13.4,.202,31.0,19.0,0.62
ATL,2000,No,36.6,83.0,.441,33.4,73.1,.458,3.1,9.9,.317,18.0,24.2,.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,94.3,22.3,99.7,28,54,-5.38,-0.04,-5.41,102.0,107.9,.460,14.1,31.7,71.0,.217,.481,11.3,.196,28.0,54.0,0.34146341463414637
ATL,2001,No,35.1,81.3,.431,31.0,69.9,.443,4.1,11.4,.357,16.8,22.1,.759,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7,91.0,20.7,96.2,25,57,-5.21,-0.34,-5.55,98.7,104.3,.456,15.5,28.9,70.8,.206,.472,13.8,.249,25.0,57.0,0.3048780487804878
ATL,2002,No,35.4,80.6,.439,30.2,66.0,.458,5.2,14.6,.354,18.1,23.7,.765,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.8,94.0,20.1,98.3,33,49,-4.23,-0.18,-4.41,101.8,106.4,.471,14.6,27.5,70.9,.225,.495,14.1,.218,33.0,49.0,0.4024390243902439
ATL,2003,No,34.9,78.5,.444,30.0,64.5,.464,4.9,13.9,.352,19.4,24.5,.793,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,94.1,20.3,97.6,35,47,-3.56,-0.31,-3.87,102.3,106.1,.476,15.7,27.9,70.4,.248,.469,12.1,.222,35.0,47.0,0.4268292682926829
ATL,2004,No,34.5,79.6,.433,29.4,64.4,.456,5.1,15.2,.335,18.7,24.1,.776,12.1,30.6,42.7,20.1,7.6,5.0,16.5,22.3,92.8,20.7,97.5,28,54,-4.65,-0.36,-5.00,101.0,106.1,.465,15.4,28.6,70.5,.235,.476,13.1,.234,28.0,54.0,0.34146341463414637
ATL,2005,No,35.9,81.4,.441,32.2,69.5,.463,3.7,11.9,.312,17.3,24.3,.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7,21.7,102.5,13,69,-9.71,0.09,-9.62,100.6,111.1,.464,14.9,30.7,72.1,.212,.513,14.0,.289,13.0,69.0,0.15853658536585366
