fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,143,0.637,0.617,0.402,0.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,129.3,108.5,Home,WAS,44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,120,0.552,0.505,0.25,0.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,108.5,129.3,IND
48,98,0.49,15,38,0.395,14,17,0.824,11,37,48,36,3,4,8,20,125,0.593,0.566,0.388,0.173,25.0,67.3,48.5,75.0,3.1,5.9,7.0,127.9,115.7,Away,CLE,43,99,0.434,12,31,0.387,15,24,0.625,18,33,51,29,2,6,7,16,113,0.516,0.495,0.313,0.242,32.7,75.0,51.5,67.4,2.0,10.0,6.0,115.7,127.9,IND
36,88,0.409,12,46,0.261,21,25,0.84,11,36,47,26,7,5,17,24,105,0.53,0.477,0.523,0.284,24.4,78.3,51.6,72.2,6.9,7.1,14.7,103.5,110.4,Home,CHI,40,87,0.46,6,17,0.353,26,31,0.839,10,34,44,19,8,6,13,17,112,0.556,0.494,0.195,0.356,21.7,75.6,48.4,47.5,7.9,14.3,11.4,110.4,103.5,IND
46,101,0.455,5,37,0.135,7,12,0.583,8,23,31,26,6,6,9,20,104,0.489,0.48,0.366,0.119,14.8,67.6,35.2,56.5,5.7,10.0,7.8,98.5,146.9,Away,BOS,54,95,0.568,20,35,0.571,27,28,0.964,11,46,57,27,5,2,13,19,155,0.722,0.674,0.368,0.295,32.4,85.2,64.8,50.0,4.7,3.1,10.8,146.9,98.5,IND
45,86,0.523,15,31,0.484,16,24,0.667,7,33,40,28,7,5,19,18,121,0.627,0.61,0.36,0.279,18.9,86.8,53.3,62.2,6.7,8.9,16.4,116.5,111.7,Home,CLE,44,84,0.524,8,28,0.286,20,25,0.8,5,30,35,27,10,9,13,20,116,0.611,0.571,0.333,0.298,13.2,81.1,46.7,61.4,9.6,16.4,12.0,111.7,116.5,IND
45,93,0.484,22,45,0.489,12,16,0.75,11,25,36,31,7,5,15,18,124,0.62,0.602,0.484,0.172,27.5,67.6,46.8,68.9,7.1,7.4,13.0,126.4,127.4,Home,CHO,47,88,0.534,8,20,0.4,23,23,1.0,12,29,41,23,5,10,13,20,125,0.637,0.58,0.227,0.261,32.4,72.5,53.2,48.9,5.1,20.8,11.7,127.4,126.4,IND
55,95,0.579,20,38,0.526,22,23,0.957,9,40,49,38,7,4,15,24,152,0.723,0.684,0.4,0.242,27.3,76.9,57.6,69.1,6.6,5.9,12.5,143.9,105.1,Home,SAS,40,94,0.426,8,26,0.308,23,30,0.767,12,24,36,26,7,5,11,15,111,0.518,0.468,0.277,0.319,23.1,72.7,42.4,65.0,6.6,8.8,9.3,105.1,143.9,IND
52,101,0.515,13,41,0.317,17,20,0.85,14,32,46,26,14,7,12,15,134,0.61,0.579,0.406,0.198,31.1,66.7,49.5,50.0,13.2,10.1,9.9,126.6,111.5,Home,UTA,45,96,0.469,11,27,0.407,17,18,0.944,16,31,47,26,3,5,22,17,118,0.568,0.526,0.281,0.188,33.3,68.9,50.5,57.8,2.8,8.3,17.5,111.5,126.6,IND
44,92,0.478,20,48,0.417,18,20,0.9,9,31,40,27,6,6,13,25,126,0.625,0.587,0.522,0.217,20.0,86.1,49.4,61.4,5.8,10.0,11.4,121.1,119.2,Home,MIL,46,87,0.529,9,27,0.333,23,26,0.885,5,36,41,23,6,5,14,19,124,0.63,0.58,0.31,0.299,13.9,80.0,50.6,50.0,5.8,11.4,12.5,119.2,121.1,IND
47,90,0.522,16,39,0.41,16,19,0.842,8,24,32,31,8,9,10,14,126,0.641,0.611,0.433,0.211,20.5,51.1,37.2,66.0,8.2,12.5,9.2,128.6,139.8,Away,PHI,53,105,0.505,14,33,0.424,17,20,0.85,23,31,54,28,5,7,12,15,137,0.602,0.571,0.314,0.19,48.9,79.5,62.8,52.8,5.1,13.7,9.5,139.8,128.6,IND
