fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,Location,Opponent,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,opp_Opponent
41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,12,18,107,0.541,0.511,0.322,0.222,28.3,77.5,51.2,56.1,5.2,7.0,10.8,111.1,123.6,Away,DEN,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,12,15,119,0.618,0.604,0.374,0.132,22.5,71.7,48.8,60.4,9.3,9.8,11.1,123.6,111.1,LAL
36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,100,0.517,0.458,0.345,0.345,17.0,77.3,46.2,66.7,13.6,14.0,14.2,97.3,92.4,Home,PHO,34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,24,21,95,0.521,0.475,0.383,0.284,22.7,83.0,53.8,47.1,6.8,5.5,20.8,92.4,97.3,LAL
43,98,0.439,15,45,0.333,26,34,0.765,8,45,53,27,4,4,12,22,127,0.562,0.515,0.459,0.347,16.3,88.2,53.0,62.8,3.5,7.1,9.6,110.1,114.5,Away,SAC,49,104,0.471,17,48,0.354,17,24,0.708,6,41,47,30,6,7,10,28,132,0.576,0.553,0.462,0.231,11.8,83.7,47.0,61.2,5.2,13.2,8.0,114.5,110.1,LAL
42,79,0.532,8,27,0.296,14,18,0.778,3,37,40,28,7,10,16,17,106,0.61,0.582,0.342,0.228,8.6,75.5,47.6,66.7,7.1,16.7,15.5,107.6,104.5,Home,ORL,38,95,0.4,14,35,0.4,13,18,0.722,12,32,44,28,10,3,11,22,103,0.5,0.474,0.368,0.189,24.5,91.4,52.4,73.7,10.1,5.8,9.7,104.5,107.6,LAL
46,90,0.511,11,32,0.344,27,36,0.75,9,42,51,28,10,9,14,24,130,0.614,0.572,0.356,0.4,20.9,77.8,52.6,60.9,9.1,13.8,11.7,118.7,114.2,Home,LAC,47,99,0.475,14,34,0.412,17,27,0.63,12,34,46,22,12,1,13,31,125,0.564,0.545,0.343,0.273,22.2,79.1,47.4,46.8,11.0,1.7,10.5,114.2,118.7,LAL
37,84,0.44,8,30,0.267,19,21,0.905,10,30,40,17,6,10,17,21,101,0.542,0.488,0.357,0.25,23.8,61.2,44.0,45.9,6.0,14.7,15.4,101.4,120.5,Away,ORL,46,101,0.455,12,33,0.364,16,19,0.842,19,32,51,29,6,9,16,18,120,0.549,0.515,0.327,0.188,38.8,76.2,56.0,63.0,6.0,16.7,12.8,120.5,101.4,LAL
44,81,0.543,8,26,0.308,11,14,0.786,5,33,38,28,6,5,17,17,107,0.614,0.593,0.321,0.173,13.2,75.0,46.3,63.6,6.1,9.8,16.3,108.0,109.0,Away,MIA,41,88,0.466,12,37,0.324,14,16,0.875,11,33,44,30,11,4,18,14,108,0.568,0.534,0.42,0.182,25.0,86.8,53.7,73.2,11.1,7.3,15.9,109.0,108.0,LAL
36,85,0.424,7,25,0.28,15,24,0.625,5,29,34,20,7,6,9,18,94,0.492,0.465,0.294,0.282,10.4,67.4,37.4,55.6,7.1,10.0,8.6,95.4,129.9,Away,HOU,51,93,0.548,14,33,0.424,12,19,0.632,14,43,57,26,4,4,13,23,128,0.631,0.624,0.355,0.204,32.6,89.6,62.6,51.0,4.1,6.7,11.4,129.9,95.4,LAL
42,84,0.5,12,27,0.444,26,34,0.765,9,34,43,27,9,7,11,20,122,0.616,0.571,0.321,0.405,20.5,66.7,45.3,64.3,9.1,12.3,10.0,122.8,119.8,Away,PHO,42,94,0.447,15,37,0.405,20,27,0.741,17,35,52,22,9,1,13,24,119,0.562,0.527,0.394,0.287,33.3,79.5,54.7,52.4,9.1,1.8,10.9,119.8,122.8,LAL
41,84,0.488,4,19,0.211,30,37,0.811,7,34,41,27,8,4,9,11,116,0.578,0.512,0.226,0.44,17.5,87.2,51.9,65.9,7.9,7.5,8.2,114.2,108.3,Home,POR,45,90,0.5,13,37,0.351,7,9,0.778,5,33,38,29,2,8,16,25,110,0.585,0.572,0.411,0.1,12.8,82.5,48.1,64.4,2.0,12.3,14.6,108.3,114.2,LAL
