fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
37,92,0.402,8,22,0.364,21,26,0.808,16,32,48,22,11,3,7,18,103,0.498,0.446,0.239,0.283,29.1,65.3,46.2,59.5,11.7,5.0,6.3,109.4,108.3,6f65a496-2662-4908-82cc-99f277116b92,Home,DET,1,41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,3,13,17,23,102,0.517,0.505,0.348,0.163,34.7,70.9,53.8,68.3,3.2,18.6,14.7,108.3,109.4,MIA
38,89,0.427,16,33,0.485,19,23,0.826,11,34,45,24,8,6,12,16,111,0.56,0.517,0.371,0.258,22.0,68.0,45.0,63.2,8.1,10.7,10.8,111.7,119.8,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,Away,BOS,0,45,95,0.474,16,39,0.41,13,19,0.684,16,39,55,20,7,6,15,19,119,0.576,0.558,0.411,0.2,32.0,78.0,55.0,44.4,7.0,10.7,12.7,119.8,111.7,MIA
35,87,0.402,12,38,0.316,8,14,0.571,9,33,42,24,6,1,15,12,90,0.483,0.471,0.437,0.161,18.4,82.5,47.2,68.6,6.2,1.9,13.9,92.4,108.9,000ee00e-f984-4ec5-8de8-527c31c05346,Away,MIN,0,44,86,0.512,12,34,0.353,6,8,0.75,7,40,47,30,9,3,16,17,106,0.592,0.581,0.395,0.093,17.5,81.6,52.8,68.2,9.2,6.1,15.2,108.9,92.4,MIA
41,86,0.477,13,34,0.382,19,20,0.95,7,33,40,27,7,2,15,20,114,0.601,0.552,0.395,0.233,17.1,78.6,48.2,65.9,6.8,4.0,13.7,111.3,119.1,5b7c854a-b963-43e1-94da-d684b9c606d8,Away,MIL,0,44,87,0.506,12,37,0.324,22,30,0.733,9,34,43,24,8,5,15,23,122,0.609,0.575,0.425,0.345,21.4,82.9,51.8,54.5,7.8,9.6,13.0,119.1,111.3,MIA
39,91,0.429,13,38,0.342,14,18,0.778,11,35,46,22,10,5,18,20,105,0.531,0.5,0.418,0.198,21.6,83.3,49.5,56.4,9.7,10.9,15.4,101.7,105.5,d7c05d0c-38ee-4148-a836-8b7bc69e372e,Home,BRK,0,37,82,0.451,16,36,0.444,19,26,0.731,7,40,47,27,11,4,18,18,109,0.583,0.549,0.439,0.317,16.7,78.4,50.5,73.0,10.6,7.5,16.2,105.5,101.7,MIA
48,80,0.6,13,27,0.481,12,14,0.857,7,30,37,35,9,1,21,18,121,0.702,0.681,0.338,0.175,21.2,88.2,55.2,72.9,8.9,1.9,19.6,119.4,112.5,a31785a4-9307-4390-bfdc-8f7f418039d0,Home,WAS,1,46,81,0.568,13,28,0.464,9,17,0.529,4,26,30,33,7,4,20,18,114,0.644,0.648,0.346,0.21,11.8,78.8,44.8,71.7,6.9,7.5,18.4,112.5,119.4,MIA
41,88,0.466,12,37,0.324,14,16,0.875,11,33,44,30,11,4,18,14,108,0.568,0.534,0.42,0.182,25.0,86.8,53.7,73.2,11.1,7.3,15.9,109.0,108.0,9ebaed3e-8d52-4c1a-a58e-b3c4065edba1,Home,LAL,1,44,81,0.543,8,26,0.308,11,14,0.786,5,33,38,28,6,5,17,17,107,0.614,0.593,0.321,0.173,13.2,75.0,46.3,63.6,6.1,9.8,16.3,108.0,109.0,MIA
35,77,0.455,11,28,0.393,27,32,0.844,9,35,44,22,9,8,19,24,108,0.593,0.526,0.364,0.416,26.5,72.9,53.7,62.9,9.2,15.1,17.3,110.1,104.0,9bc6b017-a1a8-4021-99ed-c9c6e89f98fc,Away,MEM,1,35,90,0.389,11,37,0.297,21,28,0.75,13,25,38,20,10,4,14,27,102,0.498,0.45,0.411,0.311,27.1,73.5,46.3,57.1,10.2,8.2,12.0,104.0,110.1,MIA
41,84,0.488,12,38,0.316,23,25,0.92,7,32,39,23,10,4,15,14,117,0.616,0.56,0.452,0.298,17.5,68.1,44.8,56.1,10.0,9.8,13.6,116.8,108.8,b841ddbe-e331-4d47-95fd-d5fbcd18464c,Away,ATL,1,38,87,0.437,18,46,0.391,15,18,0.833,15,33,48,23,6,6,22,19,109,0.574,0.54,0.529,0.207,31.9,82.5,55.2,60.5,6.0,13.0,18.8,108.8,116.8,MIA
39,89,0.438,12,31,0.387,28,30,0.933,11,30,41,26,7,3,7,12,118,0.577,0.506,0.348,0.337,22.0,73.2,45.1,66.7,7.2,6.4,6.4,121.0,115.9,d8b5b695-037f-4fbb-ad35-799486a8eb92,Away,SAS,1,42,91,0.462,19,44,0.432,10,12,0.833,11,39,50,35,3,6,17,21,113,0.587,0.566,0.484,0.132,26.8,78.0,54.9,83.3,3.1,10.3,15.0,115.9,121.0,MIA
40,83,0.482,8,31,0.258,23,28,0.821,10,32,42,26,12,5,8,19,111,0.582,0.53,0.373,0.337,23.8,71.1,48.3,65.0,13.0,10.2,7.7,119.9,113.4,3f5dc760-361f-444f-aae9-8c2ee63498f2,Away,CHO,1,36,81,0.444,15,32,0.469,18,22,0.818,13,32,45,21,6,0,18,21,105,0.579,0.537,0.395,0.272,28.9,76.2,51.7,58.3,6.5,0.0,16.6,113.4,119.9,MIA
42,81,0.519,15,35,0.429,23,24,0.958,7,25,32,26,8,3,9,20,122,0.666,0.611,0.432,0.296,18.9,71.4,44.4,61.9,8.5,6.1,8.9,129.3,121.9,1a739765-d0b3-4d85-9ac7-fb6872c1be0c,Home,BRK,1,40,85,0.471,14,36,0.389,21,27,0.778,10,30,40,29,5,3,15,20,115,0.594,0.553,0.424,0.318,28.6,81.1,55.6,72.5,5.3,6.5,13.4,121.9,129.3,MIA
33,77,0.429,12,36,0.333,19,23,0.826,5,29,34,23,9,0,15,18,97,0.557,0.506,0.468,0.299,12.8,74.4,43.6,69.7,9.8,0.0,14.7,105.2,110.6,388ad488-87fc-4d4e-a8cc-797e6152e67e,Away,CHI,0,36,81,0.444,16,45,0.356,14,19,0.737,10,34,44,24,9,6,13,22,102,0.571,0.543,0.556,0.235,25.6,87.2,56.4,66.7,9.8,14.6,12.7,110.6,105.2,MIA
42,84,0.5,17,35,0.486,17,20,0.85,9,34,43,31,7,1,10,19,118,0.636,0.601,0.417,0.238,23.7,82.9,54.4,73.8,7.7,2.3,9.7,129.9,110.1,249e3ca8-9ad0-4041-9848-37325591970b,Away,CHI,1,37,81,0.457,11,37,0.297,15,16,0.938,7,29,36,21,2,7,11,16,100,0.568,0.525,0.457,0.198,17.1,76.3,45.6,56.8,2.2,14.3,11.1,110.1,129.9,MIA
46,88,0.523,20,35,0.571,17,21,0.81,10,31,41,30,11,7,12,19,129,0.663,0.636,0.398,0.239,27.0,81.6,54.7,65.2,11.6,14.9,11.0,136.0,101.2,97b23bbd-8840-4956-97c5-5e262efcc99f,Away,CLE,1,36,77,0.468,14,30,0.467,10,14,0.714,7,27,34,25,5,6,19,17,96,0.577,0.558,0.39,0.182,18.4,73.0,45.3,69.4,5.3,11.3,18.6,101.2,136.0,MIA
34,87,0.391,10,37,0.27,20,21,0.952,10,31,41,20,11,0,11,19,98,0.509,0.448,0.425,0.241,20.0,83.8,47.1,58.8,11.3,0.0,10.3,100.5,102.6,c02c902d-5ba3-46b4-8fde-be16601006a3,Away,NYK,0,39,81,0.481,10,29,0.345,12,18,0.667,6,40,46,21,7,2,19,14,100,0.562,0.543,0.358,0.222,16.2,80.0,52.9,53.8,7.2,4.0,17.6,102.6,100.5,MIA
38,87,0.437,11,34,0.324,10,13,0.769,13,31,44,24,6,3,18,18,97,0.523,0.5,0.391,0.149,27.7,79.5,51.2,63.2,6.4,7.1,16.3,103.6,119.6,9c62b422-0046-448b-9194-81d53cf129d6,Away,BRK,0,39,78,0.5,14,36,0.389,20,23,0.87,8,34,42,27,11,9,13,18,112,0.635,0.59,0.462,0.295,20.5,72.3,48.8,69.2,11.7,17.0,12.9,119.6,103.6,MIA
